# Seine Fishery Age Composition (proportion of each age): Median Posterior Prediction
"# Year","3","4","5","6","7","8","9+"
# Spawner Survey Age Composition (proportion of each age): Upper 95% Posterior Predictive Interval
"# Year","3","4","5","6","7","8","9+"
"1980",NA,NA,NA,NA,NA,NA,NA
"1981",NA,NA,NA,NA,NA,NA,NA
"1982",0.444,0.444,0.556,0.778,0.222,0,0
"1983",0.667,0.417,0.25,0.333,0.5,0.167,0
"1984",0.474,0.632,0.263,0.158,0.211,0.263,0.105
"1985",0.192,0.538,0.5,0.192,0.115,0.154,0.231
"1986",0.188,0.188,0.425,0.388,0.125,0.075,0.162
"1987",0.731,0.154,0.115,0.212,0.212,0.077,0.077
"1988",0.105,0.779,0.105,0.074,0.137,0.126,0.063
"1989",0.054,0.179,0.804,0.107,0.071,0.143,0.161
"1990",0.058,0.077,0.192,0.808,0.115,0.077,0.212
"1991",0.51,0.052,0.042,0.115,0.531,0.073,0.104
"1992",0.094,0.719,0.062,0.062,0.125,0.5,0.125
"1993",0.194,0.097,0.726,0.048,0.032,0.065,0.371
"1994",0.105,0.351,0.123,0.684,0.053,0.018,0.246
"1995",0.328,0.115,0.262,0.098,0.607,0.033,0.148
"1996",0.224,0.414,0.103,0.224,0.086,0.5,0.086
"1997",0.37,0.247,0.321,0.062,0.148,0.062,0.358
"1998",0.314,0.458,0.186,0.212,0.042,0.102,0.161
"1999",0.085,0.5,0.439,0.159,0.171,0.037,0.134
"2000",0.294,0.118,0.49,0.392,0.138,0.157,0.098
"2001",0.152,0.391,0.109,0.435,0.348,0.13,0.174
"2002",0.786,0.1,0.186,0.043,0.171,0.143,0.086
"2003",0.211,0.825,0.07,0.123,0.035,0.123,0.123
"2004",0.171,0.314,0.829,0.086,0.114,0.029,0.143
"2005",0.258,0.258,0.323,0.742,0.065,0.097,0.097
"2006",0.24,0.32,0.24,0.28,0.64,0.08,0.12
"2007",0.527,0.2,0.218,0.145,0.164,0.382,0.073
"2008",0.382,0.566,0.145,0.118,0.066,0.079,0.211
"2009",0.212,0.5,0.519,0.115,0.096,0.058,0.154
"2010",0.31,0.31,0.517,0.414,0.103,0.103,0.103
"2011",0.129,0.419,0.323,0.452,0.387,0.097,0.129
"2012",0.271,0.157,0.371,0.214,0.314,0.257,0.086
"2013",0.2,0.5,0.25,0.35,0.25,0.35,0.3
"2014",0.135,0.243,0.486,0.162,0.297,0.189,0.351
"2015",0.389,0.278,0.333,0.5,0.222,0.333,0.333
"2016",0.4,0.44,0.2,0.24,0.36,0.12,0.32
"2017",0.548,0.405,0.31,0.119,0.12,0.19,0.143
"2018",0.312,0.625,0.344,0.219,0.094,0.094,0.188
"2019",0.88,0.2,0.32,0.16,0.12,0.04,0.08
"2020",0.316,0.895,0.158,0.211,0.105,0.055,0.053
"2021",0.214,0.31,0.786,0.095,0.119,0.071,0.048
"2022",0.45,0.25,0.25,0.6,0.075,0.1,0.075
"2023",0.545,0.5,0.182,0.182,0.455,0.091,0.091
"2024",0.29,0.581,0.387,0.161,0.161,0.355,0.097
