accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,lp__
0.986834,0.114938,5,31,0,199.848,-167.786
0.945384,0.120234,5,31,0,202.83,-167.448
0.998477,0.132299,5,31,0,197.851,-166.787
0.995615,0.145145,5,31,0,195.846,-165.371
0.997059,0.159424,5,31,0,200.52,-167.466
0.916304,0.162126,5,31,0,226.36,-175.992
0.961575,0.172113,5,31,0,214.927,-185.001
1,0.189477,5,31,0,217.216,-174.122
1,0.208547,5,31,0,205.422,-167.441
0.888264,0.206444,4,15,0,205.642,-166.774
0.957921,0.218287,5,31,0,201.363,-168.269
1,0.240141,4,15,0,199.711,-163.536
1,0.264126,4,15,0,180.973,-154.98
0.850715,0.252313,4,15,0,193.146,-164.345
0.354623,0.151078,4,15,0,196.416,-166.222
0.998443,0.165957,5,31,0,196.67,-163.045
0.967855,0.177099,5,31,0,201.647,-170.475
1,0.19475,5,31,0,197.845,-168.86
0.983557,0.21084,5,31,0,203.07,-167.769
0.962724,0.223809,5,31,0,203.1,-164.752
0.975357,0.240369,4,15,0,190.497,-160.491
1,0.264127,4,15,0,188.683,-158.033
0.939847,0.274328,4,15,0,197.184,-157.562
0.956762,0.289429,4,15,0,186.831,-162.069
0.74125,0.24979,4,15,0,191.901,-165.302
0.967502,0.266182,4,15,0,200.311,-167.523
0.00371992,0.115786,4,15,0,199.878,-171.276
0.999405,0.127181,5,31,0,201.111,-166.854
0.983795,0.137663,5,31,0,204.722,-174.389
0.994977,0.150534,5,31,0,206.264,-167.701
0.985915,0.163202,5,31,0,195.319,-164.474
0.757477,0.143225,5,31,0,202.044,-168.228
0.996427,0.156774,5,31,0,197.857,-155.56
0.988295,0.170289,5,31,0,179.458,-150.954
0.943202,0.177408,5,31,0,185.528,-163.175
0.939765,0.184225,5,31,0,198.35,-155.547
0.923487,0.188446,5,31,0,189.472,-156.883
0.928012,0.193558,5,31,0,189.382,-154.019
0.909357,0.195422,5,31,0,184.912,-162.555
0.993018,0.213028,5,31,0,192.597,-161.151
0.841946,0.202178,4,15,0,201.048,-166.532
0.990125,0.219763,5,31,0,197.6,-171.199
0.979501,0.236527,4,15,0,201.423,-168.883
0.472954,0.160287,4,15,0,201.571,-166.47
0.805162,0.14718,5,31,0,198.854,-164.673
0.934294,0.152043,5,31,0,208.37,-185.344
1,0.166735,5,31,0,217.848,-180.74
0.996677,0.182261,5,31,0,210.192,-182.136
1,0.199797,5,31,0,207.353,-161.823
0.943623,0.208059,5,31,0,193.218,-165.586
0.859575,0.200754,4,15,0,194.045,-159.178
0.978131,0.215672,4,15,0,193.931,-162.586
0.97664,0.231352,4,15,0,194.874,-157.606
0.963283,0.24516,4,15,0,185.778,-166.609
1,0.268514,4,15,0,210.429,-173.152
0.912316,0.271684,4,15,0,197.817,-161.557
0.636056,0.214323,4,15,0,187.466,-163.556
0.975685,0.229626,5,31,0,192.708,-159.852
0.959964,0.242535,4,15,0,188.565,-161.236
0.986111,0.262228,4,15,0,188.434,-160.937
0.306433,0.154053,4,15,0,198.703,-161.009
0.980837,0.165825,5,31,0,199.194,-165.625
0.986123,0.179317,5,31,0,199.785,-170.465
0.983494,0.193421,5,31,0,208.916,-177.633
